,TIC,Sector,Class,Amplitude,AndersonDarling,Autocor_length,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,PeriodLS2,PeriodLS3,PeriodLS4,PeriodLS5,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SmallKurtosis,Std,StructureFunction_index_21,StructureFunction_index_31,StructureFunction_index_32
1492,120891206,40,contact_rot,0.0754110813140869,1.0,5.0,0.0,0.0769440886998182,0.2745211887783882,0.4631388196107521,0.6335441638651208,0.7630398442843299,0.8745484638161497,0.0660863741076819,0.0010656729679975,0.0009197418856898,0.0004310661575185,0.0,1.5362392649374572,0.1154456119807167,-1.449395018592835,0.0132189387576722,0.001550823461006,0.0010575761073974,0.0001583337076253,0.0,0.5411011222692669,1.4421801173983535,-0.3146882442108257,0.0067078030719976,7.196172587865465e-05,0.0001051641373656,6.994228894273808e-05,0.0,-0.1136537621364659,-0.0848404597501599,0.2552914900468634,-0.0098631083965301,6.639122961847761e-05,3.790810288938359,0.0002684168147433,0.0456724762916564,0.1803821656050955,-0.1,89.027015891701,142.42466156562685,0.1632579869604984,0.3267051488769186,0.1626927544609237,0.1638271606512381,0.1621314223581258,0.0,0.2741053482667358,0.0613631724417939,0.0913565158843994,0.0102857169782293,-0.0778905892982868,-1.3546341761621474,0.0481159554349983,1.827180204086064,2.5585504329655486,1.4143069375457258
1493,270787391,40,contact_rot,0.0062587261199951,0.5696443900568143,1.0,0.0,1.8632343786957952,0.153665656537574,0.2720286913731268,0.399788706942089,0.5531985876727181,0.7705635408268231,0.0013455484906827,6.759143340535403e-05,5.412494254011214e-05,0.0001102679472697,0.0,0.3988873181337126,0.2427044601208806,-2.107394820341038,0.0006260938306908,9.181643923990648e-05,9.647318322146512e-05,7.43851721029937e-05,0.0,-0.0024758308283152,-2.10480593200164,-2.100565767155212,0.0003144477587335,0.0001199948178364,4.90702676504062e-05,8.781560312690249e-05,0.0,-0.2958319121000195,0.9416050162947572,-1.552600251988668,0.0001461207866668,1.106762682745038e-06,2.374973439913896,1.084189506093408e-05,0.0021435618400573,0.5337579617834395,0.1666666666666666,-2496.227848101266,-2276.518987341772,1.2100828615348878,0.1645938743360355,0.0148636884779181,2.4951266082976,0.0265814374222333,0.0,0.0831610808227668,1.797664091640469,0.0042840242385864,0.0180884157799937,0.0196382186700452,0.0057819401624721,0.00322365062108,2.0846096434193155,3.2307875817320846,1.6027589943720109
1494,158175337,40,solarlike,0.0031380653381347,0.8996466421198356,1.0,0.0,1.78010144538424,0.1512154309880462,0.2762999553023965,0.4023471972310408,0.5527374416925492,0.7738186652607933,0.000302092215412,8.38611712470671e-05,0.0001002406872001,0.0001192861794402,0.0,1.5059845437846389,2.1505029076821103,2.293189486373989,0.0002571448191076,6.675745890019619e-05,5.269797970695846e-05,5.853487390603174e-05,0.0,1.4959166046763892,2.223450986921749,1.5200226808156525,0.0002371468259851,7.829260968063358e-05,6.498904735363012e-05,2.040924258920086e-05,0.0,-0.3613200039722619,-0.2820244020785816,1.3105647974749377,6.181001663208008e-05,1.958906799775267e-06,1.1591373284105655,-1.0452240136018984e-05,0.0010504126548767,0.5490445859872611,-0.1,-233.33412887828163,-208.24105011933173,0.9892871627289422,0.9429660246747442,1.0720412219686255,0.2598588399794918,0.2375289312365194,8.889555758173628e-13,0.0447153571276617,1.952001108565495,0.0020937323570251,0.0192854893389818,0.0393840216094069,0.1499650987942233,0.0015864007908012,1.8884211533498425,2.6255070152558444,1.5587074406517705
1495,424867573,40,solarlike,0.0110141634941101,1.0,16.0,0.0193729288809584,0.7557068242895151,0.1175949874321518,0.2115077774944446,0.3269644093111362,0.462693526647481,0.6919237914830061,0.0024636790464303,0.0011590801677437,0.0007228061878049,0.0002330367815053,0.0,0.7056098684909992,-0.5709500761463063,0.4136500551692826,0.0019248621956438,0.0012529972718816,0.000363183395235,0.0003533199103665,0.0,1.1333779316264223,0.5966570383169237,1.9089982085001724,0.0017024837326467,0.0002599547504933,6.441097036761195e-05,6.963560935459918e-05,0.0,1.181568840474344,-1.4211744089882974,0.3812997264610216,0.0027813911437988,-1.2305113953431225e-05,2.514061459294718,0.0001119127091328,0.0026665329933166,0.7854777070063694,0.0333333333333333,-406.4385408406027,-217.69230769230768,0.9962854686816006,1.0720486221935095,0.5192427028303738,0.2637500352075706,0.2510674867648201,0.0,0.0967888661879894,1.670491506878134,0.0053409337997436,0.0645288739200444,0.5551302404304921,2.9791652911874102,0.0051205173309943,1.5674702665509042,1.806405621913732,1.4746380965740244
1496,122293868,40,contact_rot,0.0165708065032959,0.9968613564024652,1.0,0.0002549069589599,1.6517678036803984,0.1448657625242181,0.2582277672507398,0.3920479465179161,0.5541186740190338,0.7700951691541229,0.0029143907764554,0.00079108671878,0.0002123905600933,0.0005072492579279,0.0,0.0221499638774078,0.7748893104784096,0.7658280058964031,0.0016970387358242,0.0010521475938269,0.0006590337611609,0.0003570396431538,0.0,-2.7831258169958693,-0.0504782635007086,-0.5631140143304594,0.0015969578601608,0.0003699691328304,0.0005636598583329,0.0001663867513616,0.0,1.1835672935185078,1.4031425429493445,0.0078865533716763,0.0009880661964416,2.620859970038901e-05,6.187374253018102,-8.705652443466673e-05,0.0055116415023803,0.5368152866242039,-0.0333333333333333,-149.79208754208753,-131.78731762065095,2.685218510127145,0.2015353420753039,1.2992992790937798,1.4168238370017596,0.3143232369714049,0.0,0.0948948302572161,1.8726444994680185,0.0109765529632568,0.0346212714921822,0.068373439250569,0.1022396995608008,0.0084305877127185,1.65992521133529,2.125434764550133,1.3826183750030705
1497,299219901,40,dsct_bcep,0.0049488544464111,0.9936514166891178,2.0,0.0007645259938837,1.1583747835449292,0.1487499732976352,0.2732399581306921,0.4052706907723748,0.5658907552852881,0.7852560222733326,0.001269589644789,2.5325890377424685e-05,6.512984089901961e-05,5.025137929072948e-05,0.0,0.2671517790397197,0.4236896085923574,-1.3052631219858146,0.0011705086191416,6.555876339728314e-05,1.2009716871249826e-05,4.4208789437301385e-05,0.0,0.218424904343245,0.4095643208669833,0.041425882894638,0.000991334156221,7.023567378490772e-05,3.870218480317749e-05,2.2449311452192007e-05,0.0,0.2218801319674566,-0.2700390366711024,0.4259120388681787,0.0001889765262603,-3.948460593730386e-06,4.0562716806089885,-1.3542946540027991e-05,0.0016944408416748,0.8614365766683647,0.0333333333333333,-440.3578692493947,-136.01646489104115,0.0675647942976075,0.0811360824759471,0.0729490004149847,0.6665434671487381,0.8220055003029627,0.0,0.0909024643883143,1.8115964184072133,0.0033921599388122,0.0133122997968564,0.3435095777956444,3.043656621636073,0.0025826063225089,1.6662528497992517,2.2090971830233053,1.428407944812364
1498,164524544,40,contact_rot,0.1163114309310913,1.0,5.0,0.0,0.0957824277332409,0.2475704382668474,0.4426492984708436,0.6214737384487112,0.77191551647482,0.8864266853929531,0.1004119173637351,0.0097815153748642,0.0042177579245216,0.0009871066791382,0.0,-0.34358110495468,-0.6410031945390794,-1.2515090076712274,0.0148030432239303,0.0031401020860665,0.0006681389502198,0.0012802057691632,0.0,-0.3396585455153799,-2.6962624218048985,-0.9646773381750212,0.0135131998426106,0.000297855057898,0.0006704772299542,0.0001525275778335,0.0,1.395826011472142,-0.1642673015621784,0.0672869164497716,-0.0521126985549926,-4.529596208565968e-05,8.307283756276131,0.0010488194872619,0.0663068890571594,0.2170700636942675,-0.1,16.056904163308513,22.131791990954035,0.1575997383149998,0.3150233875369103,0.1581300795544221,0.1570729425323313,0.15866400216406,0.0,0.2590063419150967,0.0834122430750098,0.13623708486557,0.0170560542418853,-0.2668348292027598,-1.2366844763269824,0.0737787709095977,1.8237543908886356,2.515879433712002,1.395949718172094
1499,185058038,41,dsct_bcep,0.0086200982332229,0.8438394026216504,3.0,0.0016375545851528,0.9671765708570396,0.1544179464768801,0.2921255254505348,0.4271319765264078,0.5914970658009739,0.8024222749406917,0.0030010838643204,0.0003410684178089,0.0002045348316685,4.050503658008616e-05,0.0,-0.1328337975154618,-0.0759759848696021,-0.0509013342545701,0.0017167342961819,5.745475425230195e-05,0.0001278275467184,5.391999827952435e-05,0.0,1.1238783089722535,0.1810196446895662,2.040176046265369,0.0015195404163288,0.0002231776611382,0.0001113327287181,6.505736348051227e-05,0.0,-0.1812499246023278,-1.251582059339197,-2.008550007630692,-0.0003484785556793,7.64697397702616e-06,2.182919138511308,-1.1311615352349665e-05,0.0030431449413299,0.5141843971631206,-0.1666666666666666,520.7340619307832,437.6502732240437,0.1076689952148537,0.1064616536585798,0.0931119962120749,0.5348787709969292,0.9956357647396022,0.0,0.1182038598005868,1.523719766701273,0.0061100423336029,0.0213917912876698,0.0047778292195163,-0.1144917014718576,0.0044293266759837,1.7881330374339384,2.5379670758006654,1.5171552580733276
1500,63204858,40,eclipse,0.1686279475688934,1.0,18.0,0.070828025477707,0.0537924366250819,0.0445793836468022,0.0830818549123779,0.1190059481753701,0.1598766145682601,0.48836759044735,0.0551206726524069,0.0443027924647598,0.0260502409050836,0.0105873174354395,0.0,0.3868191142557239,0.8007035469923995,1.2020246517606743,0.0534652096168442,0.0035429312825676,0.0054659088859464,0.0010638183958738,0.0,0.9046023153544152,-0.9935615345536168,-0.2560225414812586,0.0367302355709129,0.0015439332007792,0.0008636763271042,0.001213192041134,0.0,1.5342377284932789,1.931070615554014,1.0647093951849405,-0.2481469810009002,7.424429393717915e-06,77.16805000452136,-3.482562638980486e-05,0.0169332027435302,0.881588999236058,-0.1,29.42556545140001,15.852092009995514,1.1414929415369894,0.7640887711643263,0.4569671905342566,0.2833655844820466,0.2528688399637994,0.0,0.2912148148354946,0.1458116931937243,0.0350814163684845,0.0274252511382637,-2.55029738757886,5.90016455975531,0.0786235020388773,1.9960325881056575,2.9323411578029464,1.5033377443493332
1501,274119369,41,eclipse,0.0109497606754302,1.0,1.0,0.0120087336244541,1.5579971565105222,0.1400911240237942,0.2564190050800609,0.3857606650261585,0.5412608476877796,0.7439049608139127,0.0009718886354722,0.0005981539938223,0.0001408651000564,0.0003332372575198,0.0,-0.803762470872188,-0.9112674336124642,-0.3062178214070913,0.0009760500141472,0.0001439235257117,0.0001308064778058,0.0001889463845864,0.0,-1.1266068906822824,-1.2834541979362926,-0.0424984146052176,0.0009250685210831,0.0003345777612801,0.0002553188087246,4.281512949306903e-05,0.0,-0.8896520061384494,-1.446633385305248,0.3344657352801599,-0.0042996406555175,8.880468088303925e-06,5.178210256057118,-0.0001237613707374,0.00335294008255,0.7536824877250409,0.0333333333333333,952.3859202714164,492.2035623409669,1.1409172604794842,0.7660914169790195,0.7283115662786843,0.0539544797425857,0.1705155366848748,1.2290589657126816e-09,0.0640682845549219,1.9455757011085653,0.006673589348793,0.0451485261766663,-0.6109906312214238,2.3045028675083024,0.0055313293567783,1.6621745046046918,2.1105158564933264,1.524476792390961
